Symbol,Day,Open,CloseDiff,SpreadOverLow,Volume,NextLow,TwoDayHigh,ThreeDayOpen
CHT,20081016,15.67,-0.06062539,6.010793,4105000,13.61,15.02,14.93
CHU,20080627,17.77,0.01519417,5.004469,1550300,18.38,18.37,18.67
CIA,20060630,4.9,0.02244901,5.514368,2000200,4.76,5.13,5.13
CIA,20070629,7.43,-0.05248989,6.476701,121300,6.94,7.6,7.51
CIB,20060104,30.6,-0.01045751,4.51785,560400,30.1,30.99,31
CIG,20161111,2.22,0.063063,5.291351,9622400,2.29,2.53,2.46
CIT,20080609,10.44,-0.09195403,5.541093,1.93031E+07,9.03,9.51,9.21
CLB,20140130,188.73,-0.04827002,6.052655,1002900,176.66,179.41,178.22
CLD,20121026,20,0.06000004,8.126676,3894800,20.73,21.82,21.77
CLD,20150630,5.17,-0.09864607,7.739741,2701800,4.2,4.25,4.08
CLD,20150813,3.06,-0.03594768,5.880333,1986700,2.85,3.03,2.98
CLF,20150202,6.4,0.08906245,5.934654,1.32536E+07,6.52,6.92,6.31
CLF,20151113,3.01,-0.0963455,5.791214,5269600,2.64,2.71,2.48
CLS,20060427,11.12,0.07014386,5.912744,4657800,11.25,11.51,10.95
CLS,20061212,8.99,-0.0845384,7.216115,5570600,8.08,8.21,8.15
CMI,20070605,47.425,0.06399578,5.711959,4722900,47.38,48.305,46.555
CNC,20080919,10.975,0.07061499,8.836209,1152200,10.935,11.655,11.25
CNC,20100322,11.04,0.09329708,11.73302,3295400,11.65,12.265,12.205
CNO,20081204,2.84,0.003521123,4.284595,1785300,2.73,3.5,3.5
CNO,20090316,0.37,-0.027027,14.04739,6896600,0.3,0.47,0.62
CNO,20090406,1.49,-0.05369131,10.79913,7661600,1.16,1.48,1.45
CNO,20090506,1.94,0.08247414,9.200623,5501500,2.02,2.69,3.4
CNS,20070108,43.5,-0.0397701,5.131636,323400,41.79,43.75,44.61
CNX,20160201,7.64,0.09816761,6.427761,1.36958E+07,7.67,8.69,8.6
COG,20081006,7.005,0.004996409,5.147985,4472800,6.28,6.52,6.0875
COT,20140507,7.88,-0.07868019,8.35231,2318600,7.01,7.31,7.28
CPE,20081223,2.3,0.01739129,5.660696,708900,2.14,2.26,2.22
CPE,20100304,3.48,0.04310348,7.365197,1034300,3.64,4.45,4.46
CPE,20100318,4.96,0.02419353,5.360002,1644400,4.7,4.98,5.02
CPE,20141020,5.87,0.01362861,4.824689,2342600,5.9,6.52,6.02
CPE,20141211,4.38,-0.02511418,5.076077,1437500,4.21,4.63,4.2
CPE,20160120,5.08,0.02952758,10.02173,6641000,4.99,6.17,5.59
CPF,20080731,230,-0.03739133,9.403978,1026500,206,228.2,224.6
CPF,20080908,261.8,0.02368225,6.817754,1271300,258.6,266.6,249
CPF,20090625,80.4,0.05223877,6.07661,647100,81.4,85.4,79
CPF,20091023,45.2,0.0132743,7.194405,726000,41,45.8,45
CPF,20091209,22.8,0.04385965,7.24234,631000,22,24.8,18.4
CPF,20100201,30.2,-0.07284771,9.375966,985100,25,25.2,22.6
CPF,20100325,37.8,-0.07936508,5.699211,1173700,32.8,35,33.2
CPF,20100701,30.2,0.0463576,5.555422,435000,30.2,34,31.4
CPF,20110104,32,0.09375,9.749304,845200,33.2,39.8,37.8
CPF,20110128,35.2,-0.04545461,6.871422,577700,30,32.4,31
CRD.A,20070904,5.52,0.08514489,6.731364,5200,5.54,5.83,5.7
CRD.A,20071105,4.71,-0.08917199,11.4452,36000,4.23,4.85,4
CRD.A,20080102,3.59,0.005571025,6.679016,5800,3.57,3.6,3.52
CRD.A,20080410,4.2,0.05952381,6.566775,11600,3.91,4.37,4.3
CRD.A,20080627,6,0.09999999,8.067695,113900,6.12,6.35,6.15
CRD.B,20060526,6.08,-0.01480266,8.586818,34200,5.84,6.1,6.08
CRD.B,20060713,7.03,-0.08819351,6.905874,42500,6.1,6.93,6.95
